id,text,label
1,"打开微信",LOCAL
2,"打开QQ并切换到联系人列表",LOCAL
3,"把系统音量调到30%",LOCAL
4,"将屏幕亮度调整到80%",LOCAL
5,"打开桌面上的预算表.xlsx",LOCAL
6,"打开昨天编辑过的PPT文件",LOCAL
7,"搜索下载文件夹里的invoice.pdf",LOCAL
8,"打开浏览器并访问GitHub",LOCAL
9,"关闭所有浏览器标签页",LOCAL
10,"打开系统设置中的蓝牙页面",LOCAL
11,"连接我的蓝牙耳机",LOCAL
12,"断开当前连接的蓝牙设备",LOCAL
13,"打开邮件客户端",LOCAL
14,"创建一封发给[zane@example.com](mailto:zane@example.com)的新邮件",LOCAL
15,"打开下载文件夹",LOCAL
16,"搜索桌面上的所有Word文档",LOCAL
17,"打开回收站",LOCAL
18,"清空回收站",LOCAL
19,"将电脑切换到静音模式",LOCAL
20,"把电脑音量恢复到50%",LOCAL
21,"锁定电脑",LOCAL
22,"让电脑在30分钟后关机",LOCAL
23,"取消计划关机",LOCAL
24,"打开任务管理器",LOCAL
25,"结束正在运行的Spotify",LOCAL
26,"启动Steam",LOCAL
27,"打开最近下载的图片",LOCAL
28,"搜索名字里包含‘合同’的PDF",LOCAL
29,"打开今天修改过的Excel文件",LOCAL
30,"将当前窗口最小化",LOCAL
31,"打开记事本",LOCAL
32,"创建一个名为todo.txt的新文件",LOCAL
33,"把当前文件复制到桌面",LOCAL
34,"将桌面上的test.txt重命名为backup.txt",LOCAL
35,"删除下载文件夹中的temp.zip",LOCAL
36,"打开系统的截图工具",LOCAL
37,"开始录屏",LOCAL
38,"停止录屏并保存到桌面",LOCAL
39,"查看今天的天气",LOCAL
40,"查看明天北京的天气",LOCAL
41,"打开日历并跳转到下周一",LOCAL
42,"创建一个明天下午三点的提醒",LOCAL
43,"打开计算器",LOCAL
44,"计算25乘以48",LOCAL
45,"打开终端",LOCAL
46,"在终端里进入Downloads文件夹",LOCAL
47,"打开Visual Studio Code",LOCAL
48,"打开项目文件夹Exiles",LOCAL
49,"搜索电脑里的所有PNG图片",LOCAL
50,"打开最近编辑的Markdown文件",LOCAL
51,"将Wi‑Fi关闭",LOCAL
52,"重新打开Wi‑Fi",LOCAL
53,"查看当前电池电量",LOCAL
54,"切换到深色模式",LOCAL
55,"切换回浅色模式",LOCAL
56,"打开系统的存储空间页面",LOCAL
57,"查看下载速度",LOCAL
58,"暂停当前正在下载的文件",LOCAL
59,"恢复下载",LOCAL
60,"打开桌面上的‘会议纪要.docx’",LOCAL
61,"搜索最近7天修改过的文件",LOCAL
62,"打开最近访问的网站",LOCAL
63,"将鼠标速度调快一点",LOCAL
64,"打开打印机设置",LOCAL
65,"搜索名称里有‘照片’的文件夹",LOCAL
66,"打开相册应用",LOCAL
67,"播放下一首音乐",LOCAL
68,"暂停音乐",LOCAL
69,"继续播放音乐",LOCAL
70,"打开浏览器历史记录",LOCAL
71,"打开Chrome并恢复上次关闭的标签页",LOCAL
72,"创建一个名为‘工作’的新文件夹",LOCAL
73,"把下载文件夹里的report.pdf移动到工作文件夹",LOCAL
74,"压缩桌面上的项目文件夹",LOCAL
75,"解压下载的archive.zip",LOCAL
76,"查看今天的汇率",LOCAL
77,"打开摄像头",LOCAL
78,"关闭摄像头",LOCAL
79,"查看今天的待办事项",LOCAL
80,"打开番茄钟并开始25分钟计时",LOCAL
81,"停止番茄钟",LOCAL
82,"打开桌面上的截图.png",LOCAL
83,"将系统语言切换成英文",LOCAL
84,"切换回中文输入法",LOCAL
85,"打开网易云音乐",LOCAL
86,"打开最近下载的PDF",LOCAL
87,"搜索所有大于100MB的视频文件",LOCAL
88,"打开系统更新页面",LOCAL
89,"检查是否有新的系统更新",LOCAL
90,"打开文件管理器并进入文档目录",LOCAL
91,"打开最近使用过的文件",LOCAL
92,"搜索文件名里包含‘预算’和‘2026’的Excel",LOCAL
93,"打开桌面上的‘待办事项.txt’",LOCAL
94,"查看今天上海的空气质量",LOCAL
95,"创建一个两小时后的提醒",LOCAL
96,"将当前窗口全屏",LOCAL
97,"退出当前应用",LOCAL
98,"打开系统声音设置",LOCAL
99,"将麦克风静音",LOCAL
100,"取消麦克风静音",LOCAL
101,"帮我写一篇关于人工智能未来发展的文章",CLOUD
102,"分析一下我的商业计划书有哪些优点和风险",CLOUD
103,"查一下西红柿炒鸡蛋怎么做，并整理成一份漂亮的Word文档",CLOUD
104,"根据我的简历帮我写一封求职邮件",CLOUD
105,"设计一个适合AI助手产品的Logo创意",CLOUD
106,"总结下载文件夹里所有PDF的主要内容",CLOUD
107,"分析最近三个月的消费记录，并告诉我哪里花钱最多",CLOUD
108,"阅读这份会议纪要，然后帮我提炼出重点",CLOUD
109,"帮我写一份关于苹果公司股价走势的报告",CLOUD
110,"根据这些课堂笔记，帮我生成一份复习提纲",CLOUD
111,"分析一下为什么我的项目最近开发进度变慢了",CLOUD
112,"帮我为我的游戏设计五个角色设定",CLOUD
113,"根据这些照片，帮我写一篇旅行游记",CLOUD
114,"整理我的聊天记录，并总结大家讨论最多的话题",CLOUD
115,"帮我比较这三份合同的不同之处",CLOUD
116,"根据我的预算表，帮我推荐哪些支出可以削减",CLOUD
117,"帮我设计一个极简风格的个人网站首页",CLOUD
118,"请根据我的小说草稿，帮我找出剧情漏洞",CLOUD
119,"分析这些用户评论，告诉我大家最不满意什么",CLOUD
120,"帮我把下载文件夹里的所有发票整理成报销表",CLOUD
121,"根据我最近保存的PPT，帮我生成一份演讲稿",CLOUD
122,"帮我分析一下这个创业项目有没有机会成功",CLOUD
123,"设计一个适合科幻游戏的世界观",CLOUD
124,"请阅读这些论文，然后帮我写一份文献综述",CLOUD
125,"根据我的照片，帮我挑出最适合发朋友圈的三张并说明原因",CLOUD
126,"帮我写一篇关于环保的演讲稿",CLOUD
127,"分析我最近一周的日程安排，帮我优化时间",CLOUD
128,"帮我把这些录音整理成会议纪要",CLOUD
129,"根据这些代码和报错日志，分析程序为什么会崩溃",CLOUD
130,"帮我设计一个咖啡店的宣传海报创意",CLOUD
131,"请比较一下这几家公司的职位，推荐最适合我的",CLOUD
132,"帮我根据学习笔记生成十道练习题",CLOUD
133,"请根据我的旅游计划，帮我优化路线和预算",CLOUD
134,"帮我写一份向客户道歉的邮件",CLOUD
135,"根据这些课堂录像，帮我总结每节课的重点",CLOUD
136,"分析一下我最近的睡眠记录，为什么总是睡不好",CLOUD
137,"帮我根据销售数据写一份市场分析报告",CLOUD
138,"帮我为我的AI游戏想一个英文名字",CLOUD
139,"根据我的设计稿，帮我提出改进建议",CLOUD
140,"帮我整理最近下载的所有论文，并推荐最值得读的三篇",CLOUD
141,"分析这些股票数据，告诉我最近的趋势",CLOUD
142,"帮我设计一个适合毕业活动的主题名称",CLOUD
143,"根据这些截图，帮我整理出所有订单信息",CLOUD
144,"帮我写一个关于未来城市的短篇故事",CLOUD
145,"分析一下我的简历为什么没有收到面试通知",CLOUD
146,"帮我设计一个适合中学生的英语学习计划",CLOUD
147,"根据这些产品评论，帮我总结用户最喜欢的功能",CLOUD
148,"帮我把这些图片里的文字提取出来并整理成文档",CLOUD
149,"请阅读我的创业计划书，然后给出改进建议",CLOUD
150,"根据这些聊天记录，帮我分析双方为什么会吵架",CLOUD
151,"帮我写一份关于新能源行业的研究报告",CLOUD
152,"根据这些旅游照片和票据，帮我生成一份旅行日记",CLOUD
153,"帮我分析一下为什么我的网站访问量下降了",CLOUD
154,"设计一个适合游戏工作室的品牌名称",CLOUD
155,"帮我把这些课程资料整理成知识点目录",CLOUD
156,"根据这些Excel数据，帮我分析哪些产品卖得最好",CLOUD
157,"请根据我的角色设定，帮我设计一段背景故事",CLOUD
158,"帮我阅读这些法律文件，并总结需要注意的地方",CLOUD
159,"根据这些设计参考图，帮我生成统一的配色方案",CLOUD
160,"帮我为我的产品写一句宣传语",CLOUD
161,"分析这些用户反馈，帮我找出最需要优先修复的问题",CLOUD
162,"根据这些财务数据，帮我预测下个月的支出",CLOUD
163,"帮我写一篇介绍故宫历史的文章",CLOUD
164,"根据这些代码文件，帮我自动生成接口文档",CLOUD
165,"分析这些考试成绩，帮我找出哪些学生进步最大",CLOUD
166,"帮我为我的游戏设计一个主线剧情",CLOUD
167,"根据这些图片，帮我制作一个旅行相册方案",CLOUD
168,"帮我写一份关于AI助手产品的需求文档",CLOUD
169,"请根据我的工作记录，帮我总结过去一个月完成了什么",CLOUD
170,"帮我分析这些招聘信息，告诉我哪家公司最适合我",CLOUD
171,"根据这些市场数据，帮我判断哪个城市最适合开店",CLOUD
172,"帮我设计一个适合科技公司的PPT风格",CLOUD
173,"根据我的待办事项和日历，帮我安排明天的工作顺序",CLOUD
174,"帮我比较这几款手机，推荐最值得买的一款",CLOUD
175,"根据这些银行流水，帮我分析哪些消费不合理",CLOUD
176,"帮我为我的小说角色想几个名字",CLOUD
177,"根据这些视频脚本，帮我生成详细的拍摄计划",CLOUD
178,"分析这些调查问卷，帮我总结用户最关心什么",CLOUD
179,"帮我把最近下载的所有技术文档整理成学习路线",CLOUD
180,"根据这些草图，帮我设计一个完整的Logo方案",CLOUD
181,"帮我分析我最近的学习效率为什么下降",CLOUD
182,"根据这些会议记录，帮我总结项目延期的原因",CLOUD
183,"帮我设计一个适合学校活动的海报主题",CLOUD
184,"根据这些截图和聊天记录，帮我整理事情的发展过程",CLOUD
185,"帮我写一份关于气候变化的演讲稿",CLOUD
186,"根据这些PDF教材，帮我生成考试前的重点总结",CLOUD
187,"分析这些项目日志，告诉我哪里最容易出现Bug",CLOUD
188,"帮我为我的新产品想十个名字",CLOUD
189,"根据这些图片和描述，帮我设计房间装修风格",CLOUD
190,"帮我总结这些论文里最有争议的观点",CLOUD
191,"根据我的消费记录，帮我制定一个省钱计划",CLOUD
192,"帮我设计一个适合AI聊天软件的欢迎界面",CLOUD
193,"根据这些代码和需求文档，帮我判断哪些功能还没完成",CLOUD
194,"帮我写一篇关于未来教育的文章",CLOUD
195,"根据这些产品截图，帮我分析UI还有哪些问题",CLOUD
196,"帮我整理最近下载的所有电子书，并推荐阅读顺序",CLOUD
197,"根据这些聊天记录，帮我写一份会议总结",CLOUD
198,"帮我分析一下这个项目为什么失败了",CLOUD
199,"根据这些旅游攻略，帮我制定三天的详细行程",CLOUD
200,"帮我设计一个适合故宫主题活动的宣传创意",CLOUD
201,打开系统计算器并计算523乘以47,LOCAL
202,帮我把电脑音量调到35%,LOCAL
203,打开桌面上的“会议记录.docx”,LOCAL
204,关闭当前所有浏览器标签页,LOCAL
205,搜索下载文件夹里的“发票.pdf”,LOCAL
206,帮我打开微信,LOCAL
207,打开今天最后修改的Excel文件,LOCAL
208,将屏幕亮度调到80%,LOCAL
209,帮我连接到名为Office-5G的WiFi,LOCAL
210,暂停当前正在播放的音乐,LOCAL
211,打开QQ并切换到工作群聊天窗口,LOCAL
212,查一下我电脑还有多少剩余存储空间,LOCAL
213,帮我清空回收站,LOCAL
214,在桌面创建一个名为“临时文件”的文件夹,LOCAL
215,把所有窗口最小化,LOCAL
216,打开浏览器并进入邮箱登录页面,LOCAL
217,将下载文件夹按修改时间排序,LOCAL
218,帮我锁定电脑,LOCAL
219,打开任务管理器,LOCAL
220,帮我退出微信,LOCAL
221,找到刚刚下载的压缩包,LOCAL
222,帮我将系统切换到深色模式,LOCAL
223,打开Steam,LOCAL
224,帮我把音量静音,LOCAL
225,搜索桌面上所有png图片,LOCAL
226,打开记事本并新建空白文件,LOCAL
227,帮我查看今天的天气,LOCAL
228,打开最近关闭的浏览器页面,LOCAL
229,帮我切换到蓝牙耳机输出,LOCAL
230,搜索文件名里包含“预算”的所有文档,LOCAL
231,打开最近保存的PPT文件,LOCAL
232,帮我查看当前CPU占用率,LOCAL
233,打开系统设置中的网络页面,LOCAL
234,帮我关闭所有后台音乐软件,LOCAL
235,查一下今天有没有新的系统更新,LOCAL
236,帮我打开摄像头程序,LOCAL
237,搜索“项目计划书.docx”,LOCAL
238,帮我把鼠标速度调快一点,LOCAL
239,打开浏览器并搜索附近餐厅,LOCAL
240,帮我查看当前电池电量,LOCAL
241,打开下载文件夹,LOCAL
242,帮我复制桌面上的“待办.txt”到文档文件夹,LOCAL
243,打开系统截图工具,LOCAL
244,帮我将键盘输入法切换成英文,LOCAL
245,搜索今天创建的所有PDF文件,LOCAL
246,打开网易云音乐并播放收藏歌单,LOCAL
247,帮我查看现在的日期和时间,LOCAL
248,打开浏览器并进入GitHub主页,LOCAL
249,帮我关闭屏幕保护程序,LOCAL
250,打开Word并创建一个空白文档,LOCAL
251,帮我查一下今天上海的天气,LOCAL
252,打开桌面上的“日报.xlsx”,LOCAL
253,帮我将系统音量增加10%,LOCAL
254,打开最近访问过的文件夹,LOCAL
255,帮我删除下载文件夹里的临时安装包,LOCAL
256,打开浏览器并访问学校官网,LOCAL
257,帮我搜索电脑里的mp3文件,LOCAL
258,打开微信并进入文件传输助手,LOCAL
259,帮我查看当前网络速度,LOCAL
260,打开系统蓝牙设置,LOCAL
261,帮我将当前窗口最大化,LOCAL
262,搜索名字里有“合同”的PDF,LOCAL
263,帮我打开截图并保存到桌面,LOCAL
264,打开浏览器历史记录,LOCAL
265,帮我将亮度降低到50%,LOCAL
266,打开邮件客户端,LOCAL
267,帮我查一下明天北京的天气,LOCAL
268,打开桌面上的“课程表.pdf”,LOCAL
269,帮我查看电脑型号,LOCAL
270,打开最近下载的图片,LOCAL
271,帮我将文件按大小排序,LOCAL
272,打开系统日历,LOCAL
273,帮我开启飞行模式,LOCAL
274,打开浏览器并进入视频网站,LOCAL
275,帮我搜索所有zip压缩包,LOCAL
276,打开桌面上的“待办事项.txt”,LOCAL
277,帮我将耳机音量调到60%,LOCAL
278,打开下载文件夹里最新的视频,LOCAL
279,帮我查看今天有哪些未读邮件,LOCAL
280,打开设置中的显示页面,LOCAL
281,帮我关闭当前窗口,LOCAL
282,打开文档文件夹,LOCAL
